sensor;total;start;end
PLV1;135.39000000000001;2018-02-18T01:00:00.000+01:00;2018-03-20T01:00:00.000+01:00
PLV1;64.03999999999999;2018-03-20T01:00:00.000+01:00;2018-04-19T02:00:00.000+02:00
PLV1;85.57000000000001;2018-04-19T02:00:00.000+02:00;2018-05-19T02:00:00.000+02:00
PLV1;15.66;2018-05-19T02:00:00.000+02:00;2018-06-18T02:00:00.000+02:00
PLV1;25.720000000000002;2018-06-18T02:00:00.000+02:00;2018-07-18T02:00:00.000+02:00
PLV1;34.66;2018-07-18T02:00:00.000+02:00;2018-08-17T02:00:00.000+02:00
PLV1;34.660000000000004;2018-08-17T02:00:00.000+02:00;2018-09-16T02:00:00.000+02:00
PLV1;56.77;2018-09-16T02:00:00.000+02:00;2018-10-16T02:00:00.000+02:00
PLV1;109.88;2018-10-16T02:00:00.000+02:00;2018-11-15T01:00:00.000+01:00
PLV1;27.979999999999997;2018-11-15T01:00:00.000+01:00;2018-12-15T01:00:00.000+01:00
PLV1;19.6;2018-12-15T01:00:00.000+01:00;2019-01-14T01:00:00.000+01:00
PLV1;96.80000000000003;2019-01-14T01:00:00.000+01:00;2019-02-13T01:00:00.000+01:00
PLV1;7.000000000000001;2019-02-13T01:00:00.000+01:00;2019-03-15T01:00:00.000+01:00
PLV1;0.0;2019-03-15T01:00:00.000+01:00;2019-04-14T02:00:00.000+02:00
